chemical_formula	HMDB_ID	KEGG_compound_ID	mass	ion.type	m.z	Number_profiles_processed	Percent_found	mz_min	mz_max	RT_mean	RT_sd	RT_min	RT_max	int_mean(log)	int_sd(log)	int_min(log)	int_max(log)
C22H32O2	HMDB0002183	C06429	328.24023	M-H	327.233	NA	NA	NA	NA	227	NA	NA	NA	NA	NA	NA	NA
C17H34O4	HMDB0011561	-	302.24571	M+CH3COO	361.2596	NA	NA	NA	NA	226	NA	NA	NA	NA	NA	NA	NA
C21H40O4	HMDB0011567	-	356.29266	M+CH3COO	391.2621	NA	NA	NA	NA	251	NA	NA	NA	NA	NA	NA	NA
C21H30O4	HMDB0000015	C05488	346.21441	M-H	345.2071	NA	NA	NA	NA	98	NA	NA	NA	NA	NA	NA	NA
C24H40O3	HMDB0000761	C03990	376.29775	M-H	375.2905	NA	NA	NA	NA	196	NA	NA	NA	NA	NA	NA	NA
C24H40O4	HMDB0000518	C02528	392.29266	M-H	391.2853	NA	NA	NA	NA	138	NA	NA	NA	NA	NA	NA	NA
C24H40O4	HMDB0000626	C04483	392.29266	M-H	391.2853	NA	NA	NA	NA	138	NA	NA	NA	NA	NA	NA	NA
C24H40O4	-	-	392.29266	M-H	391.2853	NA	NA	NA	NA	138	NA	NA	NA	NA	NA	NA	NA
C24H40O5	HMDB0000619	C00695	408.28758	M-H	407.2803	NA	NA	NA	NA	90	NA	NA	NA	NA	NA	NA	NA
C18H24O2	HMDB0000429	C02537	272.17763	M-H	271.1704	NA	NA	NA	NA	152	NA	NA	NA	NA	NA	NA	NA
C5H4N4O3	HMDB0000289	C00366	168.02834	M-H	167.0211	NA	NA	NA	NA	21	NA	NA	NA	NA	NA	NA	NA
C10H15N5O10P2	HMDB0001341	C00008	427.02942	M-H	426.0221	NA	NA	NA	NA	36	NA	NA	NA	NA	NA	NA	NA
C10H12N4O5	HMDB0000195	C00294	268.08077	M-H	267.0735	NA	NA	NA	NA	24	NA	NA	NA	NA	NA	NA	NA
C10H14N4O11P2	HMDB0003335	C00104	428.01344	M-H	427.0062	NA	NA	NA	NA	20	NA	NA	NA	NA	NA	NA	NA
C8HF17O3S	-	-	499.9375	M-H	498.9302	NA	NA	NA	NA	120	NA	NA	NA	NA	NA	NA	NA
C8HF15O2	-	-	413.973876	M-H	412.9666	NA	NA	NA	NA	77	NA	NA	NA	NA	NA	NA	NA
C6HF13O3S	-	-	399.944076	M-H	398.9368	NA	NA	NA	NA	79	NA	NA	NA	NA	NA	NA	NA
C9HF17O2	-	-	463.970176	M-H	462.9629	NA	NA	NA	NA	137	NA	NA	NA	NA	NA	NA	NA
C10HF19O2	-	-	513.967076	M-H	512.9598	NA	NA	NA	NA	159	NA	NA	NA	NA	NA	NA	NA
C7H5ClO2	-	-	155.9978	M-H	154.9905	NA	NA	NA	NA	20	NA	NA	NA	NA	NA	NA	NA
