chemical_formula	HMDB_ID	KEGG_compound_ID	mass	ion.type	m.z	Number_profiles_processed	Percent_found	mz_min	mz_max	RT_mean	RT_sd	RT_min	RT_max	int_mean(log)	int_sd(log)	int_min(log)	int_max(log)
C9H13NO3	HMDB00068	C00788	183.08954	M+H	184.0968	NA	NA	NA	NA	38.3	NA	NA	NA	NA	NA	NA	NA
C3H8NO6P	HMDB01721	C01005	185.00893	M+H	186.0162	NA	NA	NA	NA	282	NA	NA	NA	NA	NA	NA	NA
C3H7O7P	HMDB00362	CA1485	185.9929	M+H	187.0002	NA	NA	NA	NA	108	NA	NA	NA	NA	NA	NA	NA
C9H16O4	HMDB00784	C08261	188.10486	M+H	189.1121	NA	NA	NA	NA	30	NA	NA	NA	NA	NA	NA	NA
C8H16N2O3	HMDB00446	C12989	188.11609	M+H	189.1234	NA	NA	NA	NA	76	NA	NA	NA	NA	NA	NA	NA
C10H20O3		C02774	188.14125	M+H	189.1485	NA	NA	NA	NA	28.7	NA	NA	NA	NA	NA	NA	NA
C9H20N2O2	HMDB01325	C03793	188.15248	M+H	189.1598	NA	NA	NA	NA	107.4	NA	NA	NA	NA	NA	NA	NA
C10H7NO3	HMDB00715	C01717	189.04259	M+H	190.0499	NA	NA	NA	NA	48	NA	NA	NA	NA	NA	NA	NA
C7H11NO5	HMDB01138	CA1454	189.06372	M+H	190.071	NA	NA	NA	NA	37.9	NA	NA	NA	NA	NA	NA	NA
C11H11NO2	HMDB29738	CA1231	189.07898	M+H	190.0863	NA	NA	NA	NA	29.2	NA	NA	NA	NA	NA	NA	NA
C7H14N2O4	HMDB01370	C00666	190.09536	M+H	191.1027	NA	NA	NA	NA	207.6	NA	NA	NA	NA	NA	NA	NA
C10H9NO3	HMDB00763	C05635	191.05824	M+H	192.0657	NA	NA	NA	NA	30.7	NA	NA	NA	NA	NA	NA	NA
C7H13NO3S	HMDB11745	CA1210	191.06162	M+H	192.0689	NA	NA	NA	NA	32.1	NA	NA	NA	NA	NA	NA	NA
C7H12O6	HMDB03072	C00296	192.06339	M+H	237.0345	NA	NA	NA	NA	69.6	NA	NA	NA	NA	NA	NA	NA
C6H10O7	HMDB00127	C00191	194.042648	M+H	239.0138	NA	NA	NA	NA	74.5	NA	NA	NA	NA	NA	NA	NA
C10H10O4	HMDB00954	C01494	194.05791	M+H	195.0652	NA	NA	NA	NA	30	NA	NA	NA	NA	NA	NA	NA
C7H14O6	HMDB29965	C03619	194.07904	M+H	217.0683	NA	NA	NA	NA	47.5	NA	NA	NA	NA	NA	NA	NA
C8H10N4O2	HMDB01847	C07481	194.08038	M+H	195.0877	NA	NA	NA	NA	32	NA	NA	NA	NA	NA	NA	NA
C6H13NO6		C03752	195.07429	M+H	196.0816	NA	NA	NA	NA	125	NA	NA	NA	NA	NA	NA	NA
C6H12O7	HMDB00625	C00257	196.0583	M+H	241.0297	NA	NA	NA	NA	73.1	NA	NA	NA	NA	NA	NA	NA
C5H11NO2Se	HMDB03966	C05335	196.9955	M+H	198.0028	NA	NA	NA	NA	53	NA	NA	NA	NA	NA	NA	NA
C9H11NO4	HMDB00181	C00355	197.06881	M+H	198.0761	NA	NA	NA	NA	62.3	NA	NA	NA	NA	NA	NA	NA
C11H9NO3	HMDB60484	CA1282	203.05824	M+H	204.0655	NA	NA	NA	NA	30	NA	NA	NA	NA	NA	NA	NA
C12H13NO2		CA1213	203.09463	M+H	204.1019	NA	NA	NA	NA	27.3	NA	NA	NA	NA	NA	NA	NA
C11H13N3O	HMDB13318	C00977	203.10586	M+H	204.1131	NA	NA	NA	NA	37.7	NA	NA	NA	NA	NA	NA	NA
C9H17NO4	HMDB00201	C02571	203.11576	M+H	204.123	NA	NA	NA	NA	54.7	NA	NA	NA	NA	NA	NA	NA
C10H13N5		C04083	203.1171	M+H	204.1244	NA	NA	NA	NA	31.1	NA	NA	NA	NA	NA	NA	NA
C11H12N2O2	HMDB00929	C00078	204.08988	M+H	205.0972	NA	NA	NA	NA	47	NA	NA	NA	NA	NA	NA	NA
C11H12N2O2	HMDB13609	C00525	204.08988	M+H	205.0972	NA	NA	NA	NA	47.9	NA	NA	NA	NA	NA	NA	NA
C10H7NO4	HMDB00881	C02470	205.03751	M+H	206.0448	NA	NA	NA	NA	48.9	NA	NA	NA	NA	NA	NA	NA
C8H15NOS2	HMDB00962	C00248	205.05951	M+H	206.0668	NA	NA	NA	NA	29.7	NA	NA	NA	NA	NA	NA	NA
C11H13NO3	HMDB00512	C03519	207.08954	M+H	208.0968	NA	NA	NA	NA	30.3	NA	NA	NA	NA	NA	NA	NA
C10H12N2O3	HMDB00684	C00328	208.08479	M+H	209.0921	NA	NA	NA	NA	49.2	NA	NA	NA	NA	NA	NA	NA
C6H10O8	HMDB00639	C01807	210.03757	M+H	255.0086	NA	NA	NA	NA	133.2	NA	NA	NA	NA	NA	NA	NA
C4H10N3O5P	HMDB01511	C02305	211.0358	M+H	212.0431	NA	NA	NA	NA	110.7	NA	NA	NA	NA	NA	NA	NA
C10H17NO6	HMDB01434	CA1364	211.0845	M+H	212.0917	NA	NA	NA	NA	54.6	NA	NA	NA	NA	NA	NA	NA
C10H18N2O3	HMDB03581	C01909	214.13174	M+H	215.13954	NA	NA	NA	NA	31	NA	NA	NA	NA	NA	NA	NA
C12H24O3	HMDB02059	C08317	216.17255	M+H	217.1798	NA	NA	NA	NA	27.7	NA	NA	NA	NA	NA	NA	NA
C12H14N2O2	HMDB01238	C00978	218.10553	M+H	219.1128	NA	NA	NA	NA	29.9	NA	NA	NA	NA	NA	NA	NA
C8H13NO6		C01118	219.07429	M+H	220.0816	NA	NA	NA	NA	72	NA	NA	NA	NA	NA	NA	NA
C9H17NO5	HMDB00210	C00864	219.11067	M+H	220.1179	NA	NA	NA	NA	35.6	NA	NA	NA	NA	NA	NA	NA
C11H12N2O3	HMDB00472	C01017	220.08479	M+H	221.0921	NA	NA	NA	NA	58.5	NA	NA	NA	NA	NA	NA	NA
C8H15NO6	HMDB00215	C00140	221.08994	M+H	222.0972	NA	NA	NA	NA	53	NA	NA	NA	NA	NA	NA	NA
C8H15NO6	HMDB01129	C00645	221.08994	M+H	260.0531	NA	NA	NA	NA	51.8	NA	NA	NA	NA	NA	NA	NA
C8H15NO6	HMDB00853	C01074	221.08994	M+H	260.0531	NA	NA	NA	NA	59.2	NA	NA	NA	NA	NA	NA	NA
C7H14N2O4S	HMDB00099	C00542	222.06743	M+H	223.07523	NA	NA	NA	NA	197.4	NA	NA	NA	NA	NA	NA	NA
C10H12N2O4	HMDB00732	C02794	224.07971	M+H	225.087	NA	NA	NA	NA	55.1	NA	NA	NA	NA	NA	NA	NA
C13H20O3	HMDB36583	C11512	224.14125	M+H	225.1485	NA	NA	NA	NA	27.9	NA	NA	NA	NA	NA	NA	NA
C9H10N2O5	HMDB01904	CA1195	226.05897	M+H	227.0663	NA	NA	NA	NA	52.5	NA	NA	NA	NA	NA	NA	NA
C9H14N4O3	HMDB00033	C00386	226.10659	M+H	227.1139	NA	NA	NA	NA	107.3	NA	NA	NA	NA	NA	NA	NA
C9H13N3O4	HMDB00014	C00881	227.09061	M+H	228.0979	NA	NA	NA	NA	49.7	NA	NA	NA	NA	NA	NA	NA
C9H12N2O5	HMDB00012	C00526	228.07462	M+H	229.08242	NA	NA	NA	NA	39	NA	NA	NA	NA	NA	NA	NA
C5H11O8P	HMDB01548	C00117	230.01916	M+H	231.0264	NA	NA	NA	NA	150	NA	NA	NA	NA	NA	NA	NA
C13H16N2O2	HMDB01389	C01598	232.12118	M+H	233.1285	NA	NA	NA	NA	28.8	NA	NA	NA	NA	NA	NA	NA
C6H12N2O4S2	HMDB00192	C00491	240.02385	M+H	241.0311	NA	NA	NA	NA	211	NA	NA	NA	NA	NA	NA	NA
C10H16N4O3	HMDB00194	C01262	240.1222	M+H	241.1295	NA	NA	NA	NA	102	NA	NA	NA	NA	NA	NA	NA
C12H10N4O2		C01727	242.08038	M+H	243.0877	NA	NA	NA	NA	31.8	NA	NA	NA	NA	NA	NA	NA
C10H14N2O5	HMDB00273	C00214	242.09027	M+H	243.0975	NA	NA	NA	NA	37	NA	NA	NA	NA	NA	NA	NA
C9H13N3O5	HMDB00089	C00475	243.08552	M+H	244.0928	NA	NA	NA	NA	58.2	NA	NA	NA	NA	NA	NA	NA
C9H12N2O6	HMDB00296	C00299	244.06954	M+H	245.0768	NA	NA	NA	NA	43.4	NA	NA	NA	NA	NA	NA	NA
C10H16N2O3S	HMDB00030	C00120	244.08817	M+H	245.0954	NA	NA	NA	NA	35.4	NA	NA	NA	NA	NA	NA	NA
C12H28N4O	HMDB01186	C02567	244.22631	M+H	245.2336	NA	NA	NA	NA	102	NA	NA	NA	NA	NA	NA	NA
C13H14N2O3		C03137	246.10044	M+H	247.108	NA	NA	NA	NA	30	NA	NA	NA	NA	NA	NA	NA
C4H12N2Se2		CA1403	247.93309	M+H	248.94089	NA	NA	NA	NA	73.6	NA	NA	NA	NA	NA	NA	NA
C10H13N5O3	HMDB00101	C00559	251.1018	M+H	252.1091	NA	NA	NA	NA	42.6	NA	NA	NA	NA	NA	NA	NA
C10H13N5O3	HMDB01983	C05198	251.10184	M+H	252.1091	NA	NA	NA	NA	39	NA	NA	NA	NA	NA	NA	NA
C8H20NO6P	HMDB00086	C00670	257.1028	M+H	258.1101	NA	NA	NA	NA	104.4	NA	NA	NA	NA	NA	NA	NA
C8H15NO9S	HMDB00592	CA1422	259.03619	M+H	260.0435	NA	NA	NA	NA	109.6	NA	NA	NA	NA	NA	NA	NA
C6H14NO8P	HMDB01254	C00352	259.04571	M+H	260.053	NA	NA	NA	NA	275	NA	NA	NA	NA	NA	NA	NA
C6H13O9P	HMDB00645	C00446	260.02971	M+H	261.037	NA	NA	NA	NA	264	NA	NA	NA	NA	NA	NA	NA
C6H13O9P	HMDB01401	C00092	260.02972	M+H	261.037	NA	NA	NA	NA	277.8	NA	NA	NA	NA	NA	NA	NA
C6H13O9P	HMDB01078	C00275	260.02972	M+H	261.037	NA	NA	NA	NA	264	NA	NA	NA	NA	NA	NA	NA
C6H13O9P	HMDB00124	C00085	260.02972	M+H	261.037	NA	NA	NA	NA	279.7	NA	NA	NA	NA	NA	NA	NA
C6H13O9P	HMDB01586	C00103	260.02972	M+H	261.037	NA	NA	NA	NA	268.5	NA	NA	NA	NA	NA	NA	NA
C12H17N4OS	HMDB00235	C00378	264.1045	M+H	265.1118	NA	NA	NA	NA	60	NA	NA	NA	NA	NA	NA	NA
C10H13N5O4	HMDB00050	C00212	267.09676	M+H	268.1041	NA	NA	NA	NA	44.4	NA	NA	NA	NA	NA	NA	NA
C10H13N5O4	HMDB00085	C00330	267.0968	M+H	268.1041	NA	NA	NA	NA	50.4	NA	NA	NA	NA	NA	NA	NA
C8H16N2O4S2	HMDB00575	C01817	268.05515	M+H	269.0625	NA	NA	NA	NA	145.9	NA	NA	NA	NA	NA	NA	NA
C10H12N4O5	HMDB00195	C00294	268.08077	M+H	269.088	NA	NA	NA	NA	47.5	NA	NA	NA	NA	NA	NA	NA
C18H30O2	HMDB03073	C06426	278.22458	M+H	279.2319	NA	NA	NA	NA	26	NA	NA	NA	NA	NA	NA	NA
C18H32O2	HMDB00673	C01595	280.24023	M+H	281.2475	NA	NA	NA	NA	26	NA	NA	NA	NA	NA	NA	NA
C11H15N5O4	HMDB03331	C02494	281.11241	M+H	282.1197	NA	NA	NA	NA	40.5	NA	NA	NA	NA	NA	NA	NA
C18H34O2	HMDB00207	C00712	282.25588	M+H	283.2632	NA	NA	NA	NA	26.8	NA	NA	NA	NA	NA	NA	NA
C10H13N5O5	HMDB00133	C00387	283.09167	M+H	284.0989	NA	NA	NA	NA	54.7	NA	NA	NA	NA	NA	NA	NA
C10H12N4O6	HMDB00299	C01762	284.07569	M+H	285.083	NA	NA	NA	NA	50.6	NA	NA	NA	NA	NA	NA	NA
C18H36O2	HMDB00827	C01530	284.27153	M+H	285.2788	NA	NA	NA	NA	30	NA	NA	NA	NA	NA	NA	NA
C11H19N3O6	HMDB05765	CA1475	289.12739	M+H	290.1347	NA	NA	NA	NA	80	NA	NA	NA	NA	NA	NA	NA
C20H28O2	HMDB01852	C00777	300.20893	M+H	301.21673	NA	NA	NA	NA	26.5	NA	NA	NA	NA	NA	NA	NA
C18H39NO2	HMDB00269	C00836	301.29808	M+H	302.3054	NA	NA	NA	NA	25.5	NA	NA	NA	NA	NA	NA	NA
C9H12N3O7P	HMDB11691	C02354	305.04129	M+H	306.0486	NA	NA	NA	NA	100.8	NA	NA	NA	NA	NA	NA	NA
C9H14N3O7P	HMDB01202	C00239	307.05694	M+H	308.0642	NA	NA	NA	NA	147.2	NA	NA	NA	NA	NA	NA	NA
C10H17N3O6S	HMDB00125	C00051	307.08381	M+H	308.0911	NA	NA	NA	NA	80	NA	NA	NA	NA	NA	NA	NA
C9H13N2O8P	HMDB01409	C00365	308.04096	M+H	309.04876	NA	NA	NA	NA	98.4	NA	NA	NA	NA	NA	NA	NA
C11H19NO9	HMDB00230	C00270	309.10598	M+H	310.11378	NA	NA	NA	NA	76.5	NA	NA	NA	NA	NA	NA	NA
C10H15N2O8P	HMDB01227	C00364	322.05661	M+H	323.0639	NA	NA	NA	NA	90	NA	NA	NA	NA	NA	NA	NA
C9H14N3O8P	HMDB00095	C00055	323.05186	M+H	324.0591	NA	NA	NA	NA	168	NA	NA	NA	NA	NA	NA	NA
C9H14N3O8P	HMDB00095	C05822	323.05186	M+H	324.05966	NA	NA	NA	NA	165.3	NA	NA	NA	NA	NA	NA	NA
C9H13N2O9P	HMDB00288	C00105	324.03587	M+H	325.0431	NA	NA	NA	NA	149	NA	NA	NA	NA	NA	NA	NA
C22H32O2	HMDB02183	C06429	328.24023	M+H	329.2475	NA	NA	NA	NA	27.2	NA	NA	NA	NA	NA	NA	NA
C10H12N5O6P	HMDB11616	CA1486	329.0525	M+H	330.0598	NA	NA	NA	NA	60	NA	NA	NA	NA	NA	NA	NA
C10H12N5O6P	HMDB00058	C00575	329.05252	M+H	330.0598	NA	NA	NA	NA	65.5	NA	NA	NA	NA	NA	NA	NA
C10H14N5O6P	HMDB00905	C00360	331.06817	M+H	332.07597	NA	NA	NA	NA	122.2	NA	NA	NA	NA	NA	NA	NA
C11H15N2O8P	HMDB00229	C00455	334.05661	M+H	335.0639	NA	NA	NA	NA	132.8	NA	NA	NA	NA	NA	NA	NA
C20H32O4	HMDB01085	C02165	336.23006	M+H	337.2373	NA	NA	NA	NA	28	NA	NA	NA	NA	NA	NA	NA
C9H15N4O8P	HMDB01517	C04677	338.06275	M+H	339.0701	NA	NA	NA	NA	180	NA	NA	NA	NA	NA	NA	NA
C12H22O11	HMDB00258	C00089	342.11622	M+H	365.1054	NA	NA	NA	NA	94.4	NA	NA	NA	NA	NA	NA	NA
C12H22O11	HMDB00048	C05402	342.11622	M+H	365.1054	NA	NA	NA	NA	94.4	NA	NA	NA	NA	NA	NA	NA
C12H22O11	HMDB00163	C00208	342.11622	M+H	365.1054	NA	NA	NA	NA	94.4	NA	NA	NA	NA	NA	NA	NA
C19H37NO4	HMDB02250	CA1406	343.272247	M+H	344.2795	NA	NA	NA	NA	26.9	NA	NA	NA	NA	NA	NA	NA
C12H17N4O4PS	HMDB02666	C01081	344.07081	M+H	345.0781	NA	NA	NA	NA	211.5	NA	NA	NA	NA	NA	NA	NA
C21H30O4	HMDB00015	C05488	346.21441	M+H	347.2217	NA	NA	NA	NA	29.1	NA	NA	NA	NA	NA	NA	NA
C10H14N5O7P	HMDB00045	C00020	347.06309	M+H	348.0704	NA	NA	NA	NA	147.6	NA	NA	NA	NA	NA	NA	NA
C10H14N5O7P	HMDB01044	C00362	347.06309	M+H	348.07089	NA	NA	NA	NA	177.8	NA	NA	NA	NA	NA	NA	NA
C10H13N4O8P	HMDB00175	C00130	348.0471	M+H	349.0549	NA	NA	NA	NA	185.8	NA	NA	NA	NA	NA	NA	NA
C21H40O4		CA1373	356.29266	M+H	357.2999	NA	NA	NA	NA	27.1	NA	NA	NA	NA	NA	NA	NA
C18H16O8	HMDB03572	C10489	360.08452	M+H	361.092	NA	NA	NA	NA	30	NA	NA	NA	NA	NA	NA	NA
C16H22N6O4	HMDB05763	C03958	362.17025	M+H	363.1776	NA	NA	NA	NA	66.5	NA	NA	NA	NA	NA	NA	NA
C21H30O5	HMDB00063	C00735	362.20933	M+H	363.2166	NA	NA	NA	NA	29.8	NA	NA	NA	NA	NA	NA	NA
C10H14N5O8P	HMDB01397	C00144	363.058	M+H	364.0653	NA	NA	NA	NA	256	NA	NA	NA	NA	NA	NA	NA
C10H13N4O9P	HMDB01554	C00655	364.04202	M+H	365.04982	NA	NA	NA	NA	258.4	NA	NA	NA	NA	NA	NA	NA
C23H32O4		C14554	372.23006	M+H	373.2373	NA	NA	NA	NA	27.1	NA	NA	NA	NA	NA	NA	NA
C17H20N4O6	HMDB00244	C00255	376.13829	M+H	377.1456	NA	NA	NA	NA	44.7	NA	NA	NA	NA	NA	NA	NA
C14H20N6O5S	HMDB00939	C00021	384.12159	M+H	385.12939	NA	NA	NA	NA	79.7	NA	NA	NA	NA	NA	NA	NA
C27H44O	HMDB00032	C01164	384.33922	M+H	367.3365	NA	NA	NA	NA	26	NA	NA	NA	NA	NA	NA	NA
C27H44O	HMDB02719	C01802	384.33922	M+H	367.3365	NA	NA	NA	NA	27	NA	NA	NA	NA	NA	NA	NA
C24H38O4		C03690	390.27701	M+H	391.2943	NA	NA	NA	NA	25.5	NA	NA	NA	NA	NA	NA	NA
C16H29N3O6S		C02886	391.17771	M+H	392.18551	NA	NA	NA	NA	54.2	NA	NA	NA	NA	NA	NA	NA
C24H40O4	HMDB00518	C02528	392.29266	M+H	375.2899	M+H	NA	NA	NA	30	NA	NA	NA	NA	NA	NA	NA
C24H40O4	HMDB00626	C04483	392.29266	M+H	375.2899	NA	NA	NA	NA	28.4	NA	NA	NA	NA	NA	NA	NA
C28H44O	HMDB00900	C05441	396.33922	M+H	397.3465	NA	NA	NA	NA	26.7	NA	NA	NA	NA	NA	NA	NA
C15H23N6O5S	HMDB01185	C00019	398.1372	M+H	399.1445	NA	NA	NA	NA	132.6	NA	NA	NA	NA	NA	NA	NA
C27H46O2	HMDB06247	C15519	402.34978	M+H	385.347	NA	NA	NA	NA	27	NA	NA	NA	NA	NA	NA	NA
C23H32O6		C02821	404.21989	M+H	405.2272	NA	NA	NA	NA	28.2	NA	NA	NA	NA	NA	NA	NA
C24H40O5	HMDB00619	C00695	408.28758	M+H	373.2748	NA	NA	NA	NA	31.4	NA	NA	NA	NA	NA	NA	NA
C12H18N4O7P2S	HMDB01372	C00068	424.0371	M+H	425.0444	NA	NA	NA	NA	294	NA	NA	NA	NA	NA	NA	NA
C10H14N4O11P2	HMDB03335	C00104	428.01344	M+H	429.02124	NA	NA	NA	NA	197	NA	NA	NA	NA	NA	NA	NA
C9H9I2NO3	HMDB03474	C01060	432.86718	M+H	433.8744	NA	NA	NA	NA	47.4	NA	NA	NA	NA	NA	NA	NA
C19H19N7O6	HMDB00121	C00504	441.13968	M+H	442.147	NA	NA	NA	NA	48.3	NA	NA	NA	NA	NA	NA	NA
C19H21N7O6	HMDB01056	C00415	443.15533	M+H	444.16313	NA	NA	NA	NA	52	NA	NA	NA	NA	NA	NA	NA
C31H40O2		C00828	444.30283	M+H	445.3101	NA	NA	NA	NA	26.9	NA	NA	NA	NA	NA	NA	NA
C26H43NO6	HMDB00138	C01921	465.30904	M+H	466.3163	NA	NA	NA	NA	37.5	NA	NA	NA	NA	NA	NA	NA
C26H45NO5S	HMDB00722	C02592	483.3016	M+H	466.2991	NA	NA	NA	NA	42.5	NA	NA	NA	NA	NA	NA	NA
C14H26N4O11P2	HMDB01413	C00307	488.1073307	M+H	245.0609	NA	NA	NA	NA	297.2	NA	NA	NA	NA	NA	NA	NA
C15H13I2NO4	HMDB00582	CE6369	524.89341	M+H	525.9007	NA	NA	NA	NA	39.6	NA	NA	NA	NA	NA	NA	NA
C34H34N4O4	HMDB00241	C02191	562.25801	M+H	563.2653	NA	NA	NA	NA	27.9	NA	NA	NA	NA	NA	NA	NA
C28H56NO8P		CA1375	565.37436	M+H	566.3816	NA	NA	NA	NA	37.8	NA	NA	NA	NA	NA	NA	NA
C35H68O5		CA1156	568.50668	M+H	551.5039	NA	NA	NA	NA	27.7	NA	NA	NA	NA	NA	NA	NA
C33H34N4O6	HMDB01008	C00500	582.24784	M+H	583.2551	NA	NA	NA	NA	27.7	NA	NA	NA	NA	NA	NA	NA
C33H36N4O6	HMDB00054	C00486	584.26349	M+H	585.2708	NA	NA	NA	NA	26.1	NA	NA	NA	NA	NA	NA	NA
C15H12I3NO4	HMDB00265	C07639	650.79007	M+H	651.7973	NA	NA	NA	NA	38.2	NA	NA	NA	NA	NA	NA	NA
C21H27N7O14P2	HMDB00902	C00003	663.10912	M+H	332.5618	NA	NA	NA	NA	293.2	NA	NA	NA	NA	NA	NA	NA
C24H42O21	HMDB03553	C01613	666.22186	M+H	689.2111	NA	NA	NA	NA	250.2	NA	NA	NA	NA	NA	NA	NA
C37H74NO8P	HMDB08923	CA1369	691.51521	M+H	692.5225	NA	NA	NA	NA	30	NA	NA	NA	NA	NA	NA	NA
C41H83N2O6P	HMDB01348	C00550	730.598924	M+H	731.6062	NA	NA	NA	NA	37.4	NA	NA	NA	NA	NA	NA	NA
C44H80NO7P		C00157	765.5672	M+H	766.5745	NA	NA	NA	NA	34.9	NA	NA	NA	NA	NA	NA	NA
C15H11I4NO4	HMDB00248	C01829	776.68672	M+H	777.694	NA	NA	NA	NA	38.2	NA	NA	NA	NA	NA	NA	NA
