chemical_formula	HMDB_ID	KEGG_compound_ID	mass	ion.type	m.z	Number_profiles_processed	Percent_found	mz_min	mz_max	RT_mean	RT_sd	RT_min	RT_max	int_mean(log)	int_sd(log)	int_min(log)	int_max(log)
C7H6O2	HMDB11718	C00633	122.03678	M+H	123.0441	NA	NA	NA	NA	28.7	NA	NA	NA	NA	NA	NA	NA
C6H6N2O	HMDB01406	C00153	122.04801	M+H	123.0553	NA	NA	NA	NA	36.5	NA	NA	NA	NA	NA	NA	NA
C6H5NO2	HMDB01488	C00253	123.03203	M+H	124.0393	NA	NA	NA	NA	35.3	NA	NA	NA	NA	NA	NA	NA
C6H5NO2	HMDB02243	C10164	123.03203	M+H	124.0393	NA	NA	NA	NA	41.1	NA	NA	NA	NA	NA	NA	NA
C2H7NO3S	HMDB00251	C00245	125.01467	M+H	126.022	NA	NA	NA	NA	62.5	NA	NA	NA	NA	NA	NA	NA
C2H8NO3P	HMDB11747	C03557	125.02418	M+H	126.0315	NA	NA	NA	NA	141	NA	NA	NA	NA	NA	NA	NA
C5H7N3O	HMDB02894	C02376	125.058914	M+H	126.066714	NA	NA	NA	NA	46	NA	NA	NA	NA	NA	NA	NA
C6H11N3	HMDB01861	C15526	125.0953	M+H	126.1026	NA	NA	NA	NA	72.9	NA	NA	NA	NA	NA	NA	NA
C5H6N2O2	HMDB02024	C02835	126.04293	M+H	127.0502	NA	NA	NA	NA	71.2	NA	NA	NA	NA	NA	NA	NA
C5H7NO3	HMDB00267	C01879	129.04259	M+H	130.0499	NA	NA	NA	NA	39.5	NA	NA	NA	NA	NA	NA	NA
C9H7N	HMDB33731	C06413	129.05785	M+H	130.0651	NA	NA	NA	NA	30.8	NA	NA	NA	NA	NA	NA	NA
C6H11NO2	HMDB00070	C00408	129.07898	M+H	130.0863	NA	NA	NA	NA	60.6	NA	NA	NA	NA	NA	NA	NA
C5H6O4	HMDB00634	C02226	130.02661	M+H	131.03441	NA	NA	NA	NA	42	NA	NA	NA	NA	NA	NA	NA
C6H14N2O	HMDB02064	C02714	130.11061	M+H	131.1179	NA	NA	NA	NA	43	NA	NA	NA	NA	NA	NA	NA
C5H14N4		C00179	130.1218	M+H	131.1296	NA	NA	NA	NA	73.8	NA	NA	NA	NA	NA	NA	NA
C5H9NO3	HMDB00725	C01157	131.05824	M+H	132.0655	NA	NA	NA	NA	75	NA	NA	NA	NA	NA	NA	NA
C5H9NO3	HMDB06055	C01015	131.05824	M+H	132.0655	NA	NA	NA	NA	77.4	NA	NA	NA	NA	NA	NA	NA
C5H9NO3	HMDB01149	C00430	131.05824	M+H	132.0655	NA	NA	NA	NA	45	NA	NA	NA	NA	NA	NA	NA
C5H9NO3	HMDB00766	CE1554	131.05824	M+H	132.0655	NA	NA	NA	NA	36	NA	NA	NA	NA	NA	NA	NA
C5H9NO3	HMDB60460	C03440	131.05824	M+H	132.0655	NA	NA	NA	NA	75	NA	NA	NA	NA	NA	NA	NA
C4H9N3O2	HMDB00064	C00300	131.06948	M+H	132.0768	NA	NA	NA	NA	55.2	NA	NA	NA	NA	NA	NA	NA
C6H13NO2	HMDB00172	C00407	131.09463	M+H	132.1018	NA	NA	NA	NA	46.1	NA	NA	NA	NA	NA	NA	NA
C6H13NO2	HMDB00687	C00123	131.09463	M+H	132.1018	NA	NA	NA	NA	46.8	NA	NA	NA	NA	NA	NA	NA
C6H13NO2	HMDB01645	C01933	131.09463	M+H	132.1018	NA	NA	NA	NA	46.9	NA	NA	NA	NA	NA	NA	NA
